entry	name	file	status	error
004125f0	i76edit_merge_or_normalize_terrain_planes	decompile/004125f0_i76edit_merge_or_normalize_terrain_planes.c	ok	
00412e50	i76edit_main_window_proc_command_dispatch	decompile/00412e50_i76edit_main_window_proc_command_dispatch.c	ok	
004153e0	i76edit_show_edit_terrain_layer_dialog	decompile/004153e0_i76edit_show_edit_terrain_layer_dialog.c	ok	
004157f0	i76edit_delete_road_node_and_cleanup_edges	decompile/004157f0_i76edit_delete_road_node_and_cleanup_edges.c	ok	
00415980	i76edit_link_road_edge_neighbors	decompile/00415980_i76edit_link_road_edge_neighbors.c	ok	
00415ae0	i76edit_load_road_records	decompile/00415ae0_i76edit_load_road_records.c	ok	
00415ca0	i76edit_save_road_records	decompile/00415ca0_i76edit_save_road_records.c	ok	
00415e30	i76edit_export_runtime_all_road_chunks	decompile/00415e30_i76edit_export_runtime_all_road_chunks.c	ok	
00416620	i76edit_delete_selected_objects_ui	decompile/00416620_i76edit_delete_selected_objects_ui.c	ok	
00417ef0	i76edit_export_runtime_linked_object_obj_records	decompile/00417ef0_i76edit_export_runtime_linked_object_obj_records.c	ok	
004181c0	i76edit_export_linked_object_sampled_segments	decompile/004181c0_i76edit_export_linked_object_sampled_segments.c	ok	
00418270	i76edit_export_linked_object_linear_samples	decompile/00418270_i76edit_export_linked_object_linear_samples.c	ok	
00418490	i76edit_export_linked_object_curved_samples	decompile/00418490_i76edit_export_linked_object_curved_samples.c	ok	
00418730	i76edit_write_scaled_xy_height_sample	decompile/00418730_i76edit_write_scaled_xy_height_sample.c	ok	
00418870	i76edit_load_mission_file	decompile/00418870_i76edit_load_mission_file.c	ok	
0041a7e0	i76edit_save_editor_mission_file	decompile/0041a7e0_i76edit_save_editor_mission_file.c	ok	
0041aaa0	i76edit_export_runtime_zone_128x128_packed_height_surface	decompile/0041aaa0_i76edit_export_runtime_zone_128x128_packed_height_surface.c	ok	
0041adc0	i76edit_export_runtime_tdef_zmap_and_zone_payloads	decompile/0041adc0_i76edit_export_runtime_tdef_zmap_and_zone_payloads.c	ok	
0041b150	i76edit_export_runtime_mission_file	decompile/0041b150_i76edit_export_runtime_mission_file.c	ok	
0041bcb0	i76edit_write_bwd2_exit_chunk	decompile/0041bcb0_i76edit_write_bwd2_exit_chunk.c	ok	
0041bcf0	i76edit_write_bwd2_revision_chunk	decompile/0041bcf0_i76edit_write_bwd2_revision_chunk.c	ok	
0041c430	i76edit_alloc_linked_list_node3	decompile/0041c430_i76edit_alloc_linked_list_node3.c	ok	
0041e120	i76edit_set_status_bar_text	decompile/0041e120_i76edit_set_status_bar_text.c	ok	
0041ea60	i76edit_export_height_txt_debug_view	decompile/0041ea60_i76edit_export_height_txt_debug_view.c	ok	
0041f2b0	i76edit_get_or_create_zone_surface_sample	decompile/0041f2b0_i76edit_get_or_create_zone_surface_sample.c	ok	
0041f5a0	i76edit_object_type_has_runtime_position_override	decompile/0041f5a0_i76edit_object_type_has_runtime_position_override.c	ok	
00420ee0	i76edit_export_grade_debug_for_roads	decompile/00420ee0_i76edit_export_grade_debug_for_roads.c	ok	
00421070	i76edit_build_grade_debug_road_link_table	decompile/00421070_i76edit_build_grade_debug_road_link_table.c	ok	
00422f00	GetSaveFileNameA	decompile/00422f00_GetSaveFileNameA.c	ok	
00422f06	GetOpenFileNameA	decompile/00422f06_GetOpenFileNameA.c	ok	
00422f30	_sprintf	decompile/00422f30__sprintf.c	ok	
00422fa0	_free	decompile/00422fa0__free.c	ok	
00422ff0	_fclose	decompile/00422ff0__fclose.c	ok	
00423060	_strtok	decompile/00423060__strtok.c	ok	
00423140	_fread	decompile/00423140__fread.c	ok	
00423290	__fsopen	decompile/00423290___fsopen.c	ok	
004232e0	_malloc	decompile/004232e0__malloc.c	ok	
00423300	__nh_malloc	decompile/00423300___nh_malloc.c	ok	
00423350	__heap_alloc	decompile/00423350___heap_alloc.c	ok	
00423390	__cinit	decompile/00423390___cinit.c	ok	
004233c0	_exit	decompile/004233c0__exit.c	ok	
004233e0	__exit	decompile/004233e0___exit.c	ok	
00423420	doexit	decompile/00423420_doexit.c	ok	
004234d0	__initterm	decompile/004234d0___initterm.c	ok	
004234f0	__fpmath	decompile/004234f0___fpmath.c	ok	
004235a4	__ftol	decompile/004235a4___ftol.c	ok	
004235d0	_atol	decompile/004235d0__atol.c	ok	
00423680	_atoi	decompile/00423680__atoi.c	ok	
